Date,Price,Open,High,Low,Vol.,Change %
03/08/2023,0.9480,0.9480,0.9502,0.9456,,0.02%
03/07/2023,0.9478,0.9363,0.9482,0.9350,,1.23%
03/06/2023,0.9363,0.9417,0.9421,0.9350,,-0.41%
03/03/2023,0.9402,0.9436,0.9445,0.9399,,-0.34%
03/02/2023,0.9434,0.9374,0.9456,0.9369,,0.67%
03/01/2023,0.9371,0.9456,0.9465,0.9352,,-0.86%
02/28/2023,0.9452,0.9430,0.9457,0.9393,,0.30%
02/27/2023,0.9424,0.9487,0.9495,0.9416,,-0.58%
02/24/2023,0.9479,0.9437,0.9492,0.9420,,0.46%
02/23/2023,0.9436,0.9431,0.9455,0.9409,,0.06%
02/22/2023,0.9430,0.9393,0.9435,0.9377,,0.43%
02/21/2023,0.9390,0.9358,0.9401,0.9347,,0.34%
02/20/2023,0.9358,0.9356,0.9372,0.9341,,0.09%
02/17/2023,0.9350,0.9369,0.9423,0.9347,,-0.21%
02/16/2023,0.9370,0.9355,0.9386,0.9326,,0.17%
02/15/2023,0.9354,0.9313,0.9381,0.9306,,0.45%
02/14/2023,0.9312,0.9327,0.9340,0.9255,,-0.15%
02/13/2023,0.9326,0.9364,0.9385,0.9319,,-0.38%
02/10/2023,0.9362,0.9312,0.9376,0.9299,,0.55%
02/09/2023,0.9311,0.9336,0.9338,0.9265,,-0.25%
02/08/2023,0.9334,0.9323,0.9338,0.9293,,0.14%
02/07/2023,0.9321,0.9322,0.9374,0.9287,,0.05%
02/06/2023,0.9316,0.9268,0.9338,0.9259,,0.58%
02/03/2023,0.9262,0.9166,0.9266,0.9140,,1.08%
02/02/2023,0.9163,0.9100,0.9187,0.9063,,0.71%
02/01/2023,0.9098,0.9204,0.9215,0.9089,,-1.16%
01/31/2023,0.9205,0.9216,0.9258,0.9195,,-0.14%
01/30/2023,0.9218,0.9196,0.9226,0.9162,,0.21%
01/27/2023,0.9199,0.9181,0.9228,0.9173,,0.21%
01/26/2023,0.9180,0.9160,0.9217,0.9149,,0.24%
01/25/2023,0.9158,0.9186,0.9212,0.9154,73.25K,-0.34%
01/24/2023,0.9189,0.9198,0.9230,0.9176,69.93K,-0.10%
01/23/2023,0.9198,0.9208,0.9220,0.9151,72.09K,-0.13%
01/20/2023,0.9210,0.9231,0.9258,0.9208,77.66K,-0.25%
01/19/2023,0.9233,0.9268,0.9275,0.9225,103.05K,-0.32%
01/18/2023,0.9263,0.9268,0.9289,0.9184,110.02K,-0.06%
01/17/2023,0.9269,0.9240,0.9281,0.9200,109.13K,0.29%
01/16/2023,0.9242,0.9230,0.9258,0.9196,66.66K,0.11%
01/13/2023,0.9232,0.9219,0.9277,0.9201,98.07K,0.18%
01/12/2023,0.9215,0.9297,0.9319,0.9201,95.62K,-0.86%
01/11/2023,0.9295,0.9315,0.9324,0.9279,87.80K,-0.19%
01/10/2023,0.9313,0.9324,0.9336,0.9294,94.33K,-0.05%
01/09/2023,0.9318,0.9401,0.9402,0.9293,87.39K,-0.79%
01/06/2023,0.9392,0.9504,0.9539,0.9391,94.85K,-1.16%
01/05/2023,0.9502,0.9431,0.9510,0.9405,81.26K,0.75%
01/04/2023,0.9431,0.9481,0.9488,0.9402,90.18K,-0.46%
01/03/2023,0.9475,0.9377,0.9507,0.9359,94.73K,1.06%
01/02/2023,0.9376,0.9344,0.9390,0.9339,21.16K,0.37%
12/30/2022,0.9341,0.9378,0.9399,0.9334,71.53K,-0.41%
